Provinsi,Number of Schools in Senior High Schools (Public),Number of Schools in Senior High Schools (Private),Number of Schools in Senior High Schools (Public + Private),Number of Teachers in Senior High Schools (Public),Number of Teachers in Senior High Schools (Private),Number of Teachers in Senior High Schools (Public + Private),Number of Pupils in Senior High Schools (Public),Number of Pupils in Senior High Schools (Private),Number of Pupils in Senior High Schools (Public + Private)
Aceh,398,155,553,12639,1768,14407,123499,19328,142827
Sumatera Utara,440,638,1078,16123,8458,24581,253008,138546,391554
Sumatera Barat,243,116,359,9420,1384,10804,146759,14422,161181
Riau,326,170,496,10417,2226,12643,158611,25209,183820
Jambi,165,92,257,5068,883,5951,74255,11186,85441
Sumatera Selatan,333,287,620,11935,3652,15587,174134,52272,226406
Bengkulu,111,42,153,4017,358,4375,53774,2995,56769
Lampung,243,293,536,9259,3468,12727,136259,49455,185714
Kepulauan Bangka Belitung,47,36,83,1526,436,1962,28783,5485,34268
Kepulauan Riau,96,79,175,3057,848,3905,50726,9308,60034
DKI Jakarta,121,389,510,4650,7333,11983,89034,97427,186461
Jawa Barat,521,1337,1858,26503,18993,45496,577942,292416,870358
Jawa Tengah,365,509,874,18277,8016,26293,350208,117697,467905
DI Yogyakarta,71,108,179,2442,1634,4076,44539,18699,63238
Jawa Timur,429,1082,1511,20359,14286,34645,361805,197573,559378
Banten,163,455,618,7060,6282,13342,144162,84161,228323
Bali,90,68,158,4776,1055,5831,72836,14447,87283
Nusa Tenggara Barat,150,239,389,7975,2576,10551,104451,20405,124856
Nusa Tenggara Timur,400,224,624,12718,4449,17167,138418,57271,195689
Kalimantan Barat,291,186,477,6987,1998,8985,106263,29649,135912
Kalimantan Tengah,183,69,252,4530,731,5261,57939,6580,64519
Kalimantan Selatan,144,68,212,4367,834,5201,63895,7454,71349
Kalimantan Timur,148,92,240,4589,1197,5786,73352,13706,87058
Kalimantan Utara,49,24,73,1233,278,1511,18300,2246,20546
Sulawesi Utara,122,105,227,3540,927,4467,48355,12927,61282
Sulawesi Tengah,178,61,239,5273,645,5918,70844,6976,77820
Sulawesi Selatan,340,277,617,12950,3085,16035,190864,34958,225822
Sulawesi Tenggara,255,63,318,8794,601,9395,87380,4624,92004
Gorontalo,62,9,71,1880,123,2003,28976,1249,30225
Sulawesi Barat,80,15,95,2367,111,2478,28643,1477,30120
Maluku,218,77,295,5549,1101,6650,57733,10770,68503
Maluku Utara,140,79,219,3276,664,3940,35467,7993,43460
Papua Barat,48,23,71,1078,332,1410,14504,3513,18017
Papua Barat Daya,50,32,82,1131,370,1501,11559,3386,14945
Papua,65,54,119,1612,770,2382,24337,11285,35622
Papua Selatan,25,15,40,714,218,932,10885,3547,14432
Papua Tengah,31,29,60,792,370,1162,12956,5621,18577
Papua Pegunungan,50,22,72,658,249,907,11305,4328,15633
Indonesia,7191,7619,14810,259541,102709,362250,4036760,1400591,5437351
,,,,,,,,,
Catatan,,,,,,,,,
Jumlah tidak termasuk satuan pendidikan yang berada di luar negeri<i>/Total excludes school located overseas</i>,,,,,,,,,
